source_url,rec_url,y_n,notes,date,time,notes
https://washingtoncitypaper.com/article/522263/all-women-slate-nearly-sweeps-ward-5-democrats-election/#amp-x-canary=1,https://washingtoncitypaper.com/article/522263/all-women-slate-nearly-sweeps-ward-5-democrats-election/,n,duplicate,7/6/2021,1:28:15 PM,
https://washingtoncitypaper.com/article/522263/all-women-slate-nearly-sweeps-ward-5-democrats-election/#amp-x-canary=1,https://washingtoncitypaper.com/article/522042/were-gonna-die-round-house-theatre-young-jean-lee/,n,arts related,7/6/2021,1:28:59 PM,
https://washingtoncitypaper.com/article/522042/were-gonna-die-round-house-theatre-young-jean-lee/#amp-x-canary=1,https://washingtoncitypaper.com/article/519862/what-happened-to-defunding-the-police/,n,politics and policing,7/6/2021,1:31:21 PM,
https://washingtoncitypaper.com/article/519862/what-happened-to-defunding-the-police/#amp-x-canary=1,https://washingtoncitypaper.com/article/520040/the-diary-of-a-reluctant-statehooder/,y,politics,7/6/2021,1:34:14 PM,
https://washingtoncitypaper.com/article/519862/what-happened-to-defunding-the-police/#amp-x-canary=1,https://washingtoncitypaper.com/article/515410/d-c-bars-and-music-venues-consider-requiring-vaccination-so-they-can-reopen/,m,bars and restaurants / covid / politics,7/6/2021,1:36:04 PM,"destination url does mention Bowser and Biden, which is prob why it made it into the recs even if it isn't all that relevant"
https://washingtoncitypaper.com/article/515410/d-c-bars-and-music-venues-consider-requiring-vaccination-so-they-can-reopen/#amp-x-canary=1,https://washingtoncitypaper.com/article/516361/bowser-announces-full-d-c-reopening-on-june-11/,y,bars and restaurants / covid,7/6/2021,1:38:54 PM,
https://washingtoncitypaper.com/article/515410/d-c-bars-and-music-venues-consider-requiring-vaccination-so-they-can-reopen/#amp-x-canary=1,https://washingtoncitypaper.com/article/303706/concerned-dc-public-schools-wont-get-it-right-community-members-raise-money-for-school-technology/,y,covid,7/6/2021,1:39:41 PM,
https://washingtoncitypaper.com/article/522850/beer-hall-barons-and-a-pizza-master-to-open-slice-pie-this-fall/#amp-x-canary=1,https://washingtoncitypaper.com/article/183974/edgewood-tenants-brace-for-eviction-as-the-catholic-church-sells-their-building/,n,housing,7/12/2021,9:50:50 AM,
https://washingtoncitypaper.com/article/183974/edgewood-tenants-brace-for-eviction-as-the-catholic-church-sells-their-building/#amp-x-canary=1,https://washingtoncitypaper.com/article/522817/city-lights-sometimes-we-remember-our-bedrooms/,n,art / theatre,7/12/2021,9:53:26 AM,
https://washingtoncitypaper.com/article/183974/edgewood-tenants-brace-for-eviction-as-the-catholic-church-sells-their-building/#amp-x-canary=1,https://washingtoncitypaper.com/article/522672/rafael-nadal-will-make-his-citi-open-debut-this-summer/,n,sports,7/12/2021,9:53:54 AM,
https://washingtoncitypaper.com/article/522672/rafael-nadal-will-make-his-citi-open-debut-this-summer/#amp-x-canary=1,https://washingtoncitypaper.com/article/502634/draft-pick-deni-avdija-checked-all-of-the-wizards-boxes/,y/n,sports (but 8 mo old),7/12/2021,9:55:26 AM,
https://washingtoncitypaper.com/article/522672/rafael-nadal-will-make-his-citi-open-debut-this-summer/#amp-x-canary=1,https://washingtoncitypaper.com/article/513930/chef-kat-petonito-to-lead-eastern-markets-two-new-restaurants-and-gin-bar/,n,food (and 3 months old),7/12/2021,9:56:02 AM,
https://washingtoncitypaper.com/article/522817/city-lights-sometimes-we-remember-our-bedrooms/#amp-x-canary=1,https://washingtoncitypaper.com/article/513532/city-lights-planet-word-offers-us-poems-for-the-pandemic/,y,arts related,7/12/2021,9:59:04 AM,
https://washingtoncitypaper.com/article/522817/city-lights-sometimes-we-remember-our-bedrooms/#amp-x-canary=1,https://washingtoncitypaper.com/article/522360/best-cbd-oil-for-pain-top-10-brands-for-pain-relief/,n,wellness,7/12/2021,9:59:32 AM,
